cnes_codigo,cod_cep,cep_limpo,codufmun,municipio_codigo_6,uf_codigo,tp_unid,tpgestao,esfera_a,nat_jur,competen,cep_valido,municipio_valido,uf_valida,spatial_resolution_available,spatial_resolution_target,fallback_rule,cnes_competencia,source_system,lookup_scope,latitude,longitude,spatial_resolution_final,spatial_source,geocode_quality,municipio_nome,uf_sigla,uf_nome
0270865,38405280,38405280,317020,317020,31,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Uberlândia,MG,Minas Gerais
0359734,78210381,78210381,510250,510250,51,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Cáceres,MT,Mato Grosso
0372811,06463260,06463260,350570,350570,35,20,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4992776,-46.8143237,cep,nominatim_cep,aproximado_por_cep,Barueri,SP,São Paulo
0393290,05513100,05513100,355030,355030,35,05,M,M,2062,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.5820385,-46.7122053,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0405159,78556156,78556156,510790,510790,51,05,M,M,3999,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-15.8032581,-47.8854767,cep,nominatim_cep,aproximado_por_cep,Sinop,MT,Mato Grosso
0405663,95870000,95870000,430240,430240,43,02,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-29.6052231,-51.9362503,cep,nominatim_cep,aproximado_por_cep,Bom Retiro do Sul,RS,Rio Grande do Sul
0454508,18565081,18565081,352100,352100,35,73,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4507953,-47.5558142,cep,nominatim_cep,aproximado_por_cep,Iperó,SP,São Paulo
0466611,03163030,03163030,355030,355030,35,73,M,M,1031,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.5457695,-46.5952223,cep,nominatim_cep,aproximado_por_cep,São Paulo,SP,São Paulo
0473502,38401568,38401568,317020,317020,31,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-23.4647655,-46.8584264,cep,nominatim_cep,aproximado_por_cep,Uberlândia,MG,Minas Gerais
0507237,90035005,90035005,431490,431490,43,05,M,M,2062,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-30.0272945,-51.2094029,cep,nominatim_cep,aproximado_por_cep,Porto Alegre,RS,Rio Grande do Sul
0547484,76400000,76400000,522160,522160,52,05,E,E,1023,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-14.5265855,-49.1461512,cep,nominatim_cep,aproximado_por_cep,Uruaçu,GO,Goiás
0616036,75063610,75063610,520110,520110,52,05,M,M,1244,202601,True,True,True,cep,cep,cep->municipio->uf,2026-01,CNES / DATASUS / ST,CNES presentes no SINAN meningite,-16.2858179,-48.9595826,cep,nominatim_cep,aproximado_por_cep,Anápolis,GO,Goiás
