cnes_codigo,cod_cep,cep_limpo,cep_valido,codufmun,municipio_codigo_6,municipio6_valido,uf_codigo,uf_valida,spatial_resolution_potencial,TP_UNID,TPGESTAO,ESFERA_A,NAT_JUR,COMPETEN
6631819,55024000,55024000,True,260410,260410,True,26,True,cep,73,E,E,1023,202601
6631835,95174350,95174350,True,430790,430790,True,43,True,cep,62,M,M,2143,202601
6631916,13976024,13976024,True,352260,352260,True,35,True,cep,68,M,M,1244,202601
6632858,33940010,33940010,True,315460,315460,True,31,True,cep,73,M,M,1244,202601
6635148,27258000,27258000,True,330630,330630,True,33,True,cep,05,M,M,2143,202601
6635172,28800000,28800000,True,330430,330430,True,33,True,cep,73,M,M,1244,202601
6635903,27910000,27910000,True,330240,330240,True,33,True,cep,73,M,M,1244,202601
6637957,68791000,68791000,True,150650,150650,True,15,True,cep,02,M,M,1244,202601
6644996,58360000,58360000,True,250690,250690,True,25,True,cep,05,E,E,1023,202601
6645402,28680080,28680080,True,330080,330080,True,33,True,cep,50,M,M,1031,202601
6646034,26090005,26090005,True,330350,330350,True,33,True,cep,73,E,E,1023,202601
6648312,97560000,97560000,True,431530,431530,True,43,True,cep,68,M,M,1244,202601
6649203,23895500,23895500,True,330555,330555,True,33,True,cep,02,M,M,1244,202601
6649734,53900000,53900000,True,260760,260760,True,26,True,cep,02,E,E,1023,202601
6650864,09830291,09830291,True,354870,354870,True,35,True,cep,73,M,M,1244,202601
6651011,28200000,28200000,True,330500,330500,True,33,True,cep,68,M,M,1244,202601
6653952,21920001,21920001,True,330455,330455,True,33,True,cep,04,M,M,2240,202601
6654665,03301000,03301000,True,355030,355030,True,35,True,cep,73,M,M,2062,202601
6657257,95670082,95670082,True,430910,430910,True,43,True,cep,68,M,M,1244,202601
6657605,97590000,97590000,True,431640,431640,True,43,True,cep,02,M,M,1244,202601
6657885,85877000,85877000,True,412570,412570,True,41,True,cep,05,M,M,1244,202601
6658520,58275000,58275000,True,250710,250710,True,25,True,cep,05,E,E,1023,202601
6660460,28906170,28906170,True,330070,330070,True,33,True,cep,04,M,M,2240,202601
6661904,21310190,21310190,True,330455,330455,True,33,True,cep,73,M,M,1031,202601
6664164,21021230,21021230,True,330455,330455,True,33,True,cep,02,M,M,1031,202601
6665322,75920000,75920000,True,521930,521930,True,52,True,cep,05,E,E,1023,202601
6668143,03340000,03340000,True,355030,355030,True,35,True,cep,05,M,M,2054,202601
6670385,46438510,46438510,True,291733,291733,True,29,True,cep,05,M,M,1244,202601
6672787,28860000,28860000,True,330130,330130,True,33,True,cep,50,M,M,1244,202601
