cnes_codigo,municipio_codigo_6,municipio_nome,uf_sigla,latitude,longitude,centroide_lat,centroide_lon,spatial_resolution_final,spatial_source,geocode_quality,dist_km_to_expected_municipio,candidate_downgrade_to_municipio
2557509,291840,Juazeiro,BA,-23.4647655,-46.8584264,-9.556628601606818,-40.27440157133306,cep,nominatim_cep,aproximado_por_cep,1697.4377144925825,True
3017532,251190,Pitimbu,PB,-15.8032581,-47.8854767,-7.430890480734753,-34.841770091693995,cep,nominatim_cep,aproximado_por_cep,1697.2411964208159,True
2407841,240990,Pendências,RN,-15.8032581,-47.8854767,-5.292919556306806,-36.62398626263633,cep,nominatim_cep,aproximado_por_cep,1696.0238690018814,True
3024881,241370,Sítio Novo,RN,-15.8032581,-47.8854767,-6.08796328957775,-35.9272997943991,cep,nominatim_cep,aproximado_por_cep,1693.0989354506921,True
4014596,241370,Sítio Novo,RN,-15.8032581,-47.8854767,-6.08796328957775,-35.9272997943991,cep,nominatim_cep,aproximado_por_cep,1693.0989354506921,True
4014685,241400,Tangará,RN,-15.8032581,-47.8854767,-6.2169618412483745,-35.83529444025336,cep,nominatim_cep,aproximado_por_cep,1691.5696906796345,True
4014715,241400,Tangará,RN,-15.8032581,-47.8854767,-6.2169618412483745,-35.83529444025336,cep,nominatim_cep,aproximado_por_cep,1691.5696906796345,True
3012425,241400,Tangará,RN,-15.8032581,-47.8854767,-6.2169618412483745,-35.83529444025336,cep,nominatim_cep,aproximado_por_cep,1691.5696906796345,True
2472678,510787,Sapezal,MT,-23.4647655,-46.8584264,-13.15338231719484,-58.653399392808254,cep,nominatim_cep,aproximado_por_cep,1690.8297598790878,True
2812622,510787,Sapezal,MT,-23.4647655,-46.8584264,-13.15338231719484,-58.653399392808254,cep,nominatim_cep,aproximado_por_cep,1690.8297598790878,True
3916065,150658,Santa Maria das Barreiras,PA,-23.4647655,-46.8584264,-8.6338648512417,-50.314307649755946,cep,nominatim_cep,aproximado_por_cep,1689.6821543640438,True
2333589,150658,Santa Maria das Barreiras,PA,-23.4647655,-46.8584264,-8.6338648512417,-50.314307649755946,cep,nominatim_cep,aproximado_por_cep,1689.6821543640438,True
2333538,150658,Santa Maria das Barreiras,PA,-23.4647655,-46.8584264,-8.6338648512417,-50.314307649755946,cep,nominatim_cep,aproximado_por_cep,1689.6821543640438,True
5595649,241290,São Tomé,RN,-15.8032581,-47.8854767,-5.988166779629761,-36.128540464832085,cep,nominatim_cep,aproximado_por_cep,1683.5784397456496,True
2529076,230440,Fortaleza,CE,-15.8032581,-47.8854767,-3.7858355306379634,-38.52799397700403,cep,nominatim_cep,aproximado_por_cep,1683.0569013868862,True
7980310,230440,Fortaleza,CE,-15.8032581,-47.8854767,-3.7858355306379634,-38.52799397700403,cep,nominatim_cep,aproximado_por_cep,1683.0569013868862,True
2410125,240250,Carnaubais,RN,-15.8032581,-47.8854767,-5.264064553893085,-36.8572747564362,cep,nominatim_cep,aproximado_por_cep,1679.9364430221044,True
2611295,230428,Eusébio,CE,-15.8032581,-47.8854767,-3.8759755598225096,-38.45759722332705,cep,nominatim_cep,aproximado_por_cep,1679.754882507089,True
7103255,230428,Eusébio,CE,-15.8032581,-47.8854767,-3.8759755598225096,-38.45759722332705,cep,nominatim_cep,aproximado_por_cep,1679.754882507089,True
2481839,230428,Eusébio,CE,-15.8032581,-47.8854767,-3.8759755598225096,-38.45759722332705,cep,nominatim_cep,aproximado_por_cep,1679.754882507089,True
2725029,230428,Eusébio,CE,-15.8032581,-47.8854767,-3.8759755598225096,-38.45759722332705,cep,nominatim_cep,aproximado_por_cep,1679.754882507089,True
4013301,240680,Lajes Pintadas,RN,-15.8032581,-47.8854767,-6.148064745038952,-36.13421735355836,cep,nominatim_cep,aproximado_por_cep,1671.4086661788638,True
2474999,240540,Japi,RN,-15.8032581,-47.8854767,-6.432822735923635,-35.89910475404614,cep,nominatim_cep,aproximado_por_cep,1670.7845784420724,True
5140013,240540,Japi,RN,-15.8032581,-47.8854767,-6.432822735923635,-35.89910475404614,cep,nominatim_cep,aproximado_por_cep,1670.7845784420724,True
2372568,230445,Fortim,CE,-15.8032581,-47.8854767,-4.464392605056212,-37.87369329388692,cep,nominatim_cep,aproximado_por_cep,1669.2096704613573,True
5139090,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
3008606,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
6612075,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
2372185,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
2372266,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
3773043,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
3981509,230765,Maracanaú,CE,-15.8032581,-47.8854767,-3.8745336703210187,-38.627132389306695,cep,nominatim_cep,aproximado_por_cep,1668.5725572220974,True
2317532,150410,Magalhães Barata,PA,-15.8032581,-47.8854767,-0.8098541351547854,-47.63520940700752,cep,nominatim_cep,aproximado_por_cep,1667.41646242781,True
3612392,150680,Santarém,PA,-15.8032581,-47.8854767,-2.679419004787972,-55.238402842671306,cep,nominatim_cep,aproximado_por_cep,1666.646564617997,True
2330342,150680,Santarém,PA,-15.8032581,-47.8854767,-2.679419004787972,-55.238402842671306,cep,nominatim_cep,aproximado_por_cep,1666.646564617997,True
6440630,150680,Santarém,PA,-15.8032581,-47.8854767,-2.679419004787972,-55.238402842671306,cep,nominatim_cep,aproximado_por_cep,1666.646564617997,True
2562553,230370,Caucaia,CE,-15.8032581,-47.8854767,-3.7835720572856375,-38.8096705773582,cep,nominatim_cep,aproximado_por_cep,1664.7148071151128,True
2562618,230370,Caucaia,CE,-15.8032581,-47.8854767,-3.7835720572856375,-38.8096705773582,cep,nominatim_cep,aproximado_por_cep,1664.7148071151128,True
2561727,230370,Caucaia,CE,-15.8032581,-47.8854767,-3.7835720572856375,-38.8096705773582,cep,nominatim_cep,aproximado_por_cep,1664.7148071151128,True
2562065,230370,Caucaia,CE,-15.8032581,-47.8854767,-3.7835720572856375,-38.8096705773582,cep,nominatim_cep,aproximado_por_cep,1664.7148071151128,True
5075955,251160,Pilões,PB,-15.8032581,-47.8854767,-6.88319242521137,-35.60840694974044,cep,nominatim_cep,aproximado_por_cep,1664.6333228282194,True
2373009,230110,Aracati,CE,-15.8032581,-47.8854767,-4.681112187384478,-37.68546010994449,cep,nominatim_cep,aproximado_por_cep,1664.5728431752543,True
2372940,230110,Aracati,CE,-15.8032581,-47.8854767,-4.681112187384478,-37.68546010994449,cep,nominatim_cep,aproximado_por_cep,1664.5728431752543,True
2724308,230625,Itaitinga,CE,-15.8032581,-47.8854767,-3.998021798335177,-38.549969073911825,cep,nominatim_cep,aproximado_por_cep,1662.7498988530763,True
2481855,230625,Itaitinga,CE,-15.8032581,-47.8854767,-3.998021798335177,-38.549969073911825,cep,nominatim_cep,aproximado_por_cep,1662.7498988530763,True
3492699,230625,Itaitinga,CE,-15.8032581,-47.8854767,-3.998021798335177,-38.549969073911825,cep,nominatim_cep,aproximado_por_cep,1662.7498988530763,True
6443370,260680,Igarassu,PE,-15.8032581,-47.8854767,-7.817517074643976,-34.96031563789407,cep,nominatim_cep,aproximado_por_cep,1662.39723355576,True
2344904,260960,Olinda,PE,-15.8032581,-47.8854767,-7.993099511494914,-34.86636372282303,cep,nominatim_cep,aproximado_por_cep,1660.4049321266943,True
2344882,260960,Olinda,PE,-15.8032581,-47.8854767,-7.993099511494914,-34.86636372282303,cep,nominatim_cep,aproximado_por_cep,1660.4049321266943,True
